row number,USRN ID,Street Name,Authority Name,Administrative area,Town,Links
69795,usrn44100168,AYLESBURY CRESCENT,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009215507']
69861,usrn44100587,CARLTON GROVE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217571', 'osgb4000000009688748']"
69868,usrn44100621,CEDAR AVENUE,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217277']
69897,usrn44100795,COLWYN DRIVE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009215508', 'osgb4000000009215558', 'osgb4000000009215561', 'osgb4000000009215562', 'osgb4000000009688786']"
69945,usrn44101109,EDGEWORTH ROAD,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217138', 'osgb4000000009217306', 'osgb4000000009724514', 'osgb4000000009724515']"
70123,usrn44102014,LIME GROVE,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217562']
70202,usrn44102482,ORGAN STREET,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217333']
70240,usrn44102773,RICHMOND ROAD,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217305', 'osgb4000000009217308', 'osgb4000000009217310', 'osgb5000005181124401']"
70338,usrn44103277,THE OAKLINGS,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217563']
70357,usrn44103351,TREGARON GROVE,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217576']
70388,usrn44103615,WILLOW DRIVE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217280', 'osgb4000000009217561']"
70399,usrn44103676,WOOD STREET,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217584', 'osgb5000005181124383']"
70439,usrn44103902,DALKEITH ROAD,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217362', 'osgb4000000009217363', 'osgb4000000009217623']"
70440,usrn44103904,ASHDALE ROAD,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217622']
70441,usrn44103910,LONGHURST ROAD,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217110', 'osgb4000000009217300', 'osgb4000000009217591']"
70443,usrn44103917,WELLFIELD ROAD,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217611', 'osgb4000000009217614', 'osgb4000000009217748']"
70444,usrn44103921,TAVISTOCK ROAD,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217111']
70449,usrn44103940,LUDLOW AVENUE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217321', 'osgb4000000009217325', 'osgb4000000009217328', 'osgb4000000009217329', 'osgb4000000009217840']"
70450,usrn44103943,SKIPTON AVENUE,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217324']
70451,usrn44103948,REGABY GROVE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217649', 'osgb4000000009748439', 'osgb4000000009748442']"
70452,usrn44103950,DALBY ROAD,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217382', 'osgb4000000009527108', 'osgb4000000009527162']"
70453,usrn44103951,GLENMAYE GROVE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217641', 'osgb4000000009527112', 'osgb4000000009527113']"
70454,usrn44103954,DORSTONE CLOSE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217373', 'osgb4000000009527109', 'osgb4000000009527163']"
70455,usrn44103962,ATHOL CRESCENT,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217330', 'osgb4000000009217331', 'osgb5000005181124419', 'osgb5000005185202845']"
70456,usrn44103967,WINDSOR GROVE,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217337']
70523,usrn44104451,COAL PIT LANE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009215620', 'osgb4000000009527052']"
70722,usrn44120767,RIDGEWOOD CLOSE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009527015', 'osgb4000000009527097', 'osgb4000000009527152']"
70838,usrn44121622,MEADOW FIELD,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009663657', 'osgb4000000009663658']"
70839,usrn44121623,LONGACRE,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009663654']
70840,usrn44121624,HEATHLEA GARDENS,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009663659', 'osgb4000000009663662', 'osgb4000000009663666']"
166978,usrn44100237,BEAUMARIS ROAD,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217309', 'osgb4000000009217311']"
167145,usrn44101479,HALESFIELD,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009215556']
167187,usrn44101790,JUNIPER DRIVE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217557', 'osgb4000000009217558']"
167283,usrn44102634,POPLAR GROVE,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009215651']
167352,usrn44103264,THE BRAES,Wigan,WIGAN,HINDLEY GREEN,['osgb5000005181124384']
167427,usrn44103915,GRASSCROFT ROAD,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217163']
167429,usrn44103949,GRENABY AVENUE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217647', 'osgb4000000009527110', 'osgb4000000009527111']"
167430,usrn44103952,BALDRINE DRIVE,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217639']
167431,usrn44103956,BRIAR CLOSE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217165', 'osgb4000000009217758', 'osgb4000000009217818']"
167432,usrn44103971,SEVERN DRIVE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217343', 'osgb4000000009217602', 'osgb4000000009217603', 'osgb4000000009217745']"
167433,usrn44103975,LAUNCESTON ROAD,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009221016']
167495,usrn44104460,GLEBE STREET,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009215625']
167637,usrn44120677,BOTESWORTH CLOSE,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009526998']
167638,usrn44120678,CARVILLE GROVE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009526996', 'osgb4000000009527077', 'osgb4000000009527078']"
167647,usrn44120760,CROSSFIELD DRIVE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009526983', 'osgb4000000009527012', 'osgb4000000009527020', 'osgb4000000009527060', 'osgb4000000009527094', 'osgb4000000009527095', 'osgb4000000009527148']"
167648,usrn44120761,ELLERGREEN ROAD,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009526987', 'osgb4000000009527013']"
167649,usrn44120763,HARVEST WAY,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009526986', 'osgb4000000009527016', 'osgb4000000009527096', 'osgb4000000009527151']"
167650,usrn44120764,LEVENGREAVE CLOSE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009526988', 'osgb4000000009652904', 'osgb4000000009652908']"
167651,usrn44120768,SYKEFIELD CLOSE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009527058', 'osgb4000000009652902', 'osgb4000000009652903']"
167771,usrn44121476,CROYDE CLOSE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009526990', 'osgb4000000009527153', 'osgb4000000009527154', 'osgb5000005185202861']"
265782,usrn44100553,CAMBOURNE DRIVE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009215495', 'osgb4000000009219024']"
265938,usrn44101573,HEATHLEA,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009215557', 'osgb4000000009215630', 'osgb4000000009215650', 'osgb4000000009215657', 'osgb4000000009527093', 'osgb4000000009527145', 'osgb4000000009527147', 'osgb4000000009663660']"
266114,usrn44102710,RADNOR CLOSE,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217273']
266261,usrn44103901,ARNSIDE ROAD,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217374', 'osgb4000000009217634', 'osgb4000000009217640']"
266262,usrn44103906,HAMILTON ROAD,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217353']
266263,usrn44103907,CONWAY ROAD,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217156', 'osgb4000000009217299', 'osgb4000000009217351', 'osgb4000000009217610']"
266264,usrn44103908,KENILWORTH DRIVE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217155', 'osgb4000000009217292', 'osgb4000000009217570', 'osgb5000005181124407']"
