,row number,USRN ID,Street Name,Authority Name,Administrative area,Town,NodeCount,Node Locations,Links
872,17640,usrn21104584,,Haringey,HARINGEY,LONDON,2,"[(54.627927, -5.23008), (54.627526, -5.230064), (54.627526, -5.230064), (54.627523, -5.22993), (54.627526, -5.230064), (54.627517, -5.230218)]","['osgb4000000030358077', 'osgb4000000030853040', 'osgb4000000030853111']"
873,17641,usrn21106666,MUNRO DRIVE,Haringey,HARINGEY,LONDON,2,"[(54.615796, -5.228665), (54.615369, -5.228171)]",['osgb4000000031133918']
874,17642,usrn21106712,,Haringey,HARINGEY,LONDON,4,"[(54.626274, -5.274844), (54.626559, -5.274634), (54.626347, -5.273765), (54.626328, -5.273684)]",['osgb4000000030253110']
875,17643,usrn21106966,ERIN MEWS,Haringey,HARINGEY,LONDON,3,"[(54.637991, -5.244745), (54.637996, -5.244485), (54.637999, -5.244144)]",['osgb4000000031207789']
876,17644,usrn21106980,,Haringey,HARINGEY,LONDON,3,"[(54.655983, -5.237497), (54.655938, -5.237521), (54.65588, -5.2372)]","['osgb4000000030427304', 'osgb4000000030853143']"
877,17645,usrn21106988,,Haringey,HARINGEY,LONDON,4,"[(54.620694, -5.236681), (54.620687, -5.2368), (54.620664, -5.236966), (54.620656, -5.23698)]",['osgb4000000030709748']
878,17646,usrn21106996,,Haringey,HARINGEY,LONDON,10,"[(54.629544, -5.296201), (54.62947, -5.296121), (54.629371, -5.295975), (54.629293, -5.29586), (54.62924, -5.295789), (54.629183, -5.295858), (54.628947, -5.296333), (54.62889, -5.296298), (54.628773, -5.296125), (54.628736, -5.296076)]",['osgb4000000030657142']
879,17647,usrn21107024,,Haringey,HARINGEY,LONDON,5,"[(54.64319, -5.230129), (54.6433, -5.229767), (54.643339, -5.229612), (54.643358, -5.229462), (54.643371, -5.229332)]",['osgb4000000030727072']
880,17648,usrn21107088,DOROTHY SMITH LANE,Haringey,HARINGEY,LONDON,6,"[(54.645759, -5.236633), (54.645771, -5.23659), (54.645888, -5.236097), (54.645914, -5.235956), (54.645916, -5.235684), (54.645984, -5.235365)]",['osgb5000005109747649']
881,17649,usrn21107092,OLIVERS ROW,Haringey,HARINGEY,LONDON,4,"[(54.625727, -5.280946), (54.625481, -5.281106), (54.625354, -5.281209), (54.624862, -5.281534)]",['osgb5000005107438410']
3370,116482,usrn21103983,THE GROVE LYNTON ROAD,Haringey,HARINGEY,LONDON,2,"[(54.626973, -5.290847), (54.627399, -5.290401)]",['osgb4000000030356286']
3371,116483,usrn21105265,,Haringey,HARINGEY,LONDON,2,"[(54.665636, -5.237853), (54.665599, -5.238594)]",['osgb4000000030359160']
3372,116484,usrn21106787,,Haringey,HARINGEY,LONDON,3,"[(54.60532, -5.287275), (54.605176, -5.287323), (54.605063, -5.28736)]",['osgb4000000030990663']
3373,116485,usrn21106951,PARK MEWS,Haringey,HARINGEY,LONDON,3,"[(54.621161, -5.277113), (54.621089, -5.277292), (54.621013, -5.277467)]",['osgb4000000031217039']
3374,116486,usrn21107039,,Haringey,HARINGEY,LONDON,5,"[(54.619055, -5.273148), (54.61907, -5.27318), (54.619565, -5.274242), (54.619564, -5.274289), (54.619508, -5.274362)]",['osgb4000000030253084']
3375,116487,usrn21107095,CANNON ROAD,Haringey,HARINGEY,LONDON,5,"[(54.656837, -5.229866), (54.656342, -5.230463), (54.656322, -5.230468), (54.65582, -5.230352), (54.655818, -5.230353)]",['osgb5000005165451039']
