NodeID,Lat,Lon,Type,Street Name
#osgb4000000029934259,51.57663,-0.168108,0,[1]
#oseg4000000029934250,51.576558,-0.168136,1,1
#oseg4000000029934251,51.576254,-0.168235,1,1
#oseg4000000029934252,51.576102,-0.168285,1,1
#oseg4000000029934253,51.575815,-0.168325,1,1
#oseg4000000029934254,51.575671,-0.168331,1,1
#oseg4000000029934255,51.575482,-0.168338,1,1
#oseg4000000029934256,51.574942,-0.168288,1,1
#oseg4000000029934257,51.573924,-0.16817,1,1
#oseg4000000029934258,51.573618,-0.168139,1,1
#oseg4000000029934259,51.573228,-0.168081,1,1
#oseg4000000029934210,51.573092,-0.168061,1,1
#osgb4000000029930644,51.572996,-0.168049,0,[1 4]
#osgb4000000030011531,51.598008,-0.136302,0,[  2 177]
#oseg4000000030011511,51.597114,-0.134996,1,2
#osgb4000000030010636,51.596397,-0.133957,0,[  2 177]
#osgb4000000030014654,51.596916,-0.057339,0,[ 3 24]
#oseg4000000030014612,51.596948,-0.05767,1,3
#oseg4000000030014613,51.597132,-0.059553,1,3
#osgb4000000030014476,51.597175,-0.059984,0,[  3 242]
#osgb4000000029930648,51.57192,-0.154743,0,[  4 249]
#oseg4000000029930614,51.571892,-0.154427,1,4
#oseg4000000029930615,51.571878,-0.15421,1,4
#oseg4000000029930616,51.571868,-0.154053,1,4
#oseg4000000029930617,51.571835,-0.153636,1,4
#oseg4000000029930618,51.571824,-0.153474,1,4
#oseg4000000029930619,51.571804,-0.153191,1,4
#osgb4000000030005923,51.571753,-0.152456,0,[  4 176]
#osgb4000000030010254,51.576777,-0.136696,0,[  5 507 654]
#oseg4000000030010220,51.576692,-0.13663,1,5
#oseg4000000030010221,51.576054,-0.136132,1,5
#osgb4000000030010256,51.575437,-0.135643,0,[5]
#osgb4000000030010350,51.579655,-0.120571,0,[  6 322]
#oseg4000000030010322,51.579892,-0.120748,1,6
#oseg4000000030010323,51.580128,-0.120926,1,6
#oseg4000000030010324,51.58031,-0.121063,1,6
#osgb4000000030010352,51.580529,-0.121227,0,[  6 762]
#osgb4000000030010650,51.586545,-0.133105,0,[  7 948]
#oseg4000000030010625,51.58697,-0.133232,1,7
#oseg4000000030010626,51.587015,-0.13323,1,7
#oseg4000000030010627,51.58706,-0.133214,1,7
#oseg4000000030010628,51.587095,-0.133198,1,7
#oseg4000000030010629,51.587104,-0.133168,1,7
#oseg4000000030010630,51.587103,-0.133125,1,7
#oseg4000000030010631,51.587103,-0.133111,1,7
#oseg4000000030010632,51.587055,-0.132896,1,7
#oseg4000000030010633,51.587005,-0.132595,1,7
#oseg4000000030010634,51.586927,-0.132237,1,7
#oseg4000000030010635,51.586927,-0.132209,1,7
