Link ID,Start Node,End Node,Street Name,Segment Length,Road width,Centre Line
osgb4000000030097919,"#osgb4000000029934259""/>","#osgb4000000029930644""/>",Courtenay Avenue,406.4,"[8.7, 6.1]","[(51.57663, -0.168108), (51.576558, -0.168136), (51.576254, -0.168235), (51.576102, -0.168285), (51.575815, -0.168325), (51.575671, -0.168331), (51.575482, -0.168338), (51.574942, -0.168288), (51.573924, -0.16817), (51.573618, -0.168139), (51.573228, -0.168081), (51.573092, -0.168061), (51.572996, -0.168049)]"
osgb4000000030102041,"#osgb4000000030011531""/>","#osgb4000000030010636""/>",The Avenue,241.89,"[7.9, 7.7]","[(51.598008, -0.136302), (51.597114, -0.134996), (51.596397, -0.133957)]"
osgb4000000030102209,"#osgb4000000030014654""/>","#osgb4000000030014476""/>",Poynton Road,185.55,"[6.5, 6.4]","[(51.596916, -0.057339), (51.596948, -0.05767), (51.597132, -0.059553), (51.597175, -0.059984)]"
osgb4000000030153520,"#osgb4000000029930648""/>","#osgb4000000030005923""/>",Hampstead Lane,159.6,"[7.5, 6.0]","[(51.57192, -0.154743), (51.571892, -0.154427), (51.571878, -0.15421), (51.571868, -0.154053), (51.571835, -0.153636), (51.571824, -0.153474), (51.571804, -0.153191), (51.571753, -0.152456)]"
osgb4000000030154396,"#osgb4000000030010254""/>","#osgb4000000030010256""/>",Stanhope Road,166.0,"[7.2, 7.1]","[(51.576777, -0.136696), (51.576692, -0.13663), (51.576054, -0.136132), (51.575437, -0.135643)]"
osgb4000000030253062,"#osgb4000000030010350""/>","#osgb4000000030010352""/>",Elder Avenue,107.33,"[7.5, 7.1]","[(51.579655, -0.120571), (51.579892, -0.120748), (51.580128, -0.120926), (51.58031, -0.121063), (51.580529, -0.121227)]"
osgb4000000030253182,"#osgb4000000030010650""/>","#osgb4000000030010641""/>",Farrer Mews,173.39,"[8.2, 5.6]","[(51.586545, -0.133105), (51.58697, -0.133232), (51.587015, -0.13323), (51.58706, -0.133214), (51.587095, -0.133198), (51.587104, -0.133168), (51.587103, -0.133125), (51.587103, -0.133111), (51.587055, -0.132896), (51.587005, -0.132595), (51.586927, -0.132237), (51.586927, -0.132209), (51.586989, -0.132163), (51.587256, -0.132007)]"
osgb4000000030253199,"#osgb4000000030010694""/>","#osgb4000000030010693""/>",Temple Road,108.44,"[7.5, 7.1]","[(51.586308, -0.115994), (51.586522, -0.115884), (51.58654, -0.115913), (51.58656, -0.116027), (51.586702, -0.117046)]"
osgb4000000030253248,"#osgb4000000030010791""/>","#osgb4000000030010790""/>",Venetia Road,91.7,"[7.5, 7.2]","[(51.576127, -0.10028), (51.576109, -0.100271), (51.575864, -0.100147), (51.575393, -0.099921), (51.575338, -0.099895)]"
osgb4000000030253255,"#osgb4000000030010776""/>","#osgb4000000030010779""/>",Woollaston Road,72.99,"[7.0, 6.9]","[(51.577177, -0.102907), (51.576711, -0.102802), (51.576527, -0.10276)]"
osgb4000000030253300,"#osgb4000000030010878""/>","#osgb4000000030006961""/>",Linkway,46.77,"[8.9, 7.2]","[(51.574729, -0.092271), (51.574655, -0.092173), (51.574601, -0.092132), (51.574547, -0.09212), (51.574483, -0.092094), (51.574402, -0.092097), (51.57434, -0.092115)]"
osgb4000000030253369,"#osgb4000000030011020""/>","#osgb4000000030011015""/>",Penrith Road,82.88,"[8.2, 7.6]","[(51.582656, -0.087046), (51.582551, -0.086127), (51.582529, -0.085868)]"
osgb4000000030253411,"#osgb4000000030011121""/>","#osgb4000000030785220""/>",Clarendon Road Off Hornsey Park Road,53.75,"[9.6, 8.5]","[(51.589715, -0.112013), (51.589241, -0.11186)]"
osgb4000000030253466,"#osgb4000000030011298""/>","#osgb4000000030011290""/>",Morley Avenue,91.06,"[8.5, 8.1]","[(51.596898, -0.103529), (51.596494, -0.104672)]"
osgb4000000030253557,"#osgb4000000030011524""/>","#osgb4000000030011526""/>",Grosvenor Road,119.18,"[7.6, 7.0]","[(51.600278, -0.142231), (51.600284, -0.142158), (51.6003, -0.141955), (51.600293, -0.141494), (51.60028, -0.141263), (51.600258, -0.140961), (51.600237, -0.140803), (51.600188, -0.14053)]"
osgb4000000030253800,"#osgb4000000030012186""/>","#osgb4000000030012187""/>",Ewart Grove,117.48,"[9.0, 6.4]","[(51.600372, -0.109032), (51.600501, -0.108895), (51.600589, -0.10879), (51.601061, -0.107962), (51.601115, -0.107931), (51.601151, -0.107929)]"
osgb4000000030253894,"#osgb4000000030012361""/>","#osgb4000000030012355""/>",Sandford Avenue,64.76,"[8.9, 6.7]","[(51.601087, -0.093434), (51.601656, -0.093627)]"
osgb4000000030253952,"#osgb4000000030012488""/>","#osgb4000000030012485""/>",Great Cambridge Road,68.29,"[10.2, 7.9]","[(51.605134, -0.086144), (51.604962, -0.086224), (51.604793, -0.086347), (51.604642, -0.086469), (51.604571, -0.08653)]"
osgb4000000030254116,"#osgb4000000031014858""/>","#osgb4000000030613997""/>",St Anns Road,59.56,"[7.5, 6.6]","[(51.577186, -0.073313), (51.577173, -0.073436), (51.577176, -0.073595), (51.577177, -0.07371), (51.577208, -0.073954), (51.577209, -0.073955), (51.57725, -0.074155)]"
osgb4000000030254221,"#osgb4000000030013105""/>","#osgb4000000030013120""/>",Stamford Road,46.0,"[8.4, 7.9]","[(51.582097, -0.066083), (51.58251, -0.066065)]"
osgb4000000030254261,"#osgb4000000030013206""/>","#osgb5000005121270126""/>",Colsterworth Road,61.92,"[6.7, 6.3]","[(51.587558, -0.070052), (51.587593, -0.070498), (51.587603, -0.070627), (51.587634, -0.070857), (51.587643, -0.070934)]"
osgb4000000030254744,"#osgb4000000030014492""/>","#osgb4000000030014491""/>",High Road,72.02,"[12.1, 11.8]","[(51.600606, -0.067881), (51.599959, -0.067938)]"
osgb4000000030254763,"#osgb4000000030014451""/>","#osgb4000000030014491""/>",Cedar Road,108.07,"[7.7, 7.3]","[(51.599949, -0.069497), (51.599959, -0.067938)]"
osgb4000000030254831,"#osgb4000000030014668""/>","#osgb4000000030014667""/>",Shelbourne Road,58.69,"[10.0, 9.7]","[(51.600548, -0.055653), (51.600039, -0.055877)]"
osgb4000000030356295,"#osgb4000000030006839""/>","#osgb4000000030006832""/>",Oakfield Road,34.08,"[12.8, 4.6]","[(51.57265, -0.106083), (51.572386, -0.105833)]"
osgb4000000030357561,"#osgb4000000030010280""/>","#osgb4000000030010290""/>",Avenue Road,63.78,"[10.7, 7.1]","[(51.575703, -0.129854), (51.575943, -0.129152), (51.575958, -0.129036)]"
