NodeID,Lat,Lon,Type,Street Name
#osgb4000000009046299,53.521741,-2.542946,0,[ 1 78]
#oseg4000000009046290,53.521583,-2.54216,1,1
#oseg4000000009046291,53.521503,-2.541797,1,1
#oseg4000000009046292,53.521477,-2.541661,1,1
#osgb4000000009046315,53.52146,-2.541419,0,[ 1 34 48]
#osgb4000000009047561,53.52348,-2.545985,0,[  2 127]
#oseg4000000009047563,53.523533,-2.546212,1,2
#osgb5000005181120516,53.523645,-2.546712,0,[2]
#osgb4000000009047693,53.527191,-2.542246,0,[ 3 51]
#oseg4000000009047694,53.527064,-2.542546,1,3
#oseg4000000009047695,53.526928,-2.542846,1,3
#osgb4000000009047692,53.526437,-2.543971,0,[3]
#osgb4000000009047838,53.524206,-2.557986,0,[4]
#oseg4000000009047836,53.524233,-2.558017,1,4
#oseg4000000009047837,53.52426,-2.558017,1,4
#oseg4000000009047838,53.524557,-2.557976,1,4
#oseg4000000009047839,53.52471,-2.557978,1,4
#oseg4000000009047810,53.524943,-2.558011,1,4
#osgb4000000009047672,53.525024,-2.558027,0,[ 4 75]
#osgb4000000009047882,53.527845,-2.556525,0,[  5 148]
#osgb4000000009047880,53.527322,-2.55673,0,[ 5 11]
#osgb4000000009047552,53.527235,-2.559911,0,[6 2]
#osgb4000000009688546,53.527002,-2.56009,0,[6]
#osgb4000000009047886,53.52791,-2.554113,0,[ 7 17]
#osgb4000000009047684,53.528459,-2.553909,0,[ 7 45]
#osgb4000000009047869,53.529504,-2.561163,0,[ 8 25]
#osgb4000000009047695,53.529765,-2.561031,0,[ 8 20]
#osgb4000000009047708,53.530758,-2.558102,0,[ 9 58]
#oseg4000000009047711,53.530478,-2.558385,1,9
#osgb4000000009047916,53.53046,-2.5584,0,[ 9 65]
#osgb4000000009047713,53.531342,-2.550506,0,[10]
#oseg4000000009047712,53.531386,-2.550784,1,10
#osgb4000000009048251,53.53139,-2.550811,0,[10]
#osgb4000000009526069,53.527614,-2.558519,0,[11]
#osgb4000000009047865,53.527541,-2.55806,0,[11 72]
#osgb4000000009526073,53.525365,-2.548065,0,[12]
#osgb4000000009526074,53.525364,-2.548212,0,[12]
#osgb5000005157325550,53.521972,-2.543933,0,[13]
#osgb4000000009046273,53.521952,-2.543944,0,[13  1]
#osgb5000005181120494,53.523264,-2.544959,0,[2]
#osgb4000000009047524,53.523295,-2.545108,0,[ 2 81]
#osgb4000000009688531,53.514615,-2.546662,0,[13]
#osgb4000000009046259,53.514318,-2.546516,0,[ 13 144]
#osgb4000000009046250,53.512945,-2.54398,0,[13 46]
#osgb4000000009046270,53.512882,-2.543775,0,[13]
#osgb4000000009046253,53.515502,-2.547087,0,[ 13 101]
#oseg4000000009046213,53.515466,-2.547073,1,13
#osgb4000000009046260,53.515323,-2.547011,0,[ 13 107]
#osgb4000000009046314,53.52255,-2.544917,0,[14 32]
#oseg4000000009046314,53.522444,-2.544463,1,14
#osgb4000000009735341,53.522383,-2.544204,0,[14]
#osgb4000000009526076,53.526917,-2.548247,0,[12]
#osgb4000000009048336,53.527478,-2.548254,0,[12 59]
#osgb4000000009047632,53.528864,-2.551847,0,[15 45]
#oseg4000000009047615,53.52889,-2.552089,1,15
#oseg4000000009047616,53.528964,-2.553493,1,15
#oseg4000000009047617,53.528982,-2.553629,1,15
#oseg4000000009047618,53.529025,-2.553931,1,15
#osgb4000000009047631,53.529236,-2.55499,0,[15 45]
#osgb4000000009047686,53.524471,-2.545515,0,[16 38]
#oseg4000000009047619,53.524436,-2.545153,1,16
#oseg4000000009047620,53.524437,-2.545047,1,16
#oseg4000000009047621,53.524447,-2.544896,1,16
#oseg4000000009047622,53.524493,-2.54461,1,16
#oseg4000000009047623,53.524511,-2.54449,1,16
#oseg4000000009047624,53.524512,-2.54443,1,16
#oseg4000000009047625,53.524503,-2.544279,1,16
#oseg4000000009047626,53.524469,-2.543946,1,16
#oseg4000000009047627,53.524425,-2.543735,1,16
#oseg4000000009047628,53.524354,-2.543477,1,16
#oseg4000000009047629,53.524336,-2.543417,1,16
#oseg4000000009047630,53.524319,-2.543235,1,16
#osgb4000000009047688,53.524311,-2.542979,0,[16 21]
#osgb4000000009047889,53.52777,-2.55313,0,[17 83]
#osgb4000000009047893,53.527622,-2.552178,0,[17 55]
#osgb4000000009047705,53.529672,-2.555825,0,[18  5]
