Link ID,Start Node,End Node,Street Name,Segment Length,Road width,Centre Line
osgb4000000009215561,"#osgb4000000009046299""/>","#osgb4000000009046315""/>",Colwyn Drive,106.27,"[5.8, 5.3]","[(53.521741, -2.542946), (53.521583, -2.54216), (53.521503, -2.541797), (53.521477, -2.541661), (53.52146, -2.541419)]"
osgb4000000009216902,"#osgb4000000009047561""/>","#osgb5000005181120516""/>",Atherton Road,51.59,"[7.8, 7.5]","[(53.52348, -2.545985), (53.523533, -2.546212), (53.523645, -2.546712)]"
osgb4000000009217154,"#osgb4000000009047693""/>","#osgb4000000009047692""/>",Wetheral Close,141.83,"[10.3, 7.0]","[(53.527191, -2.542246), (53.527064, -2.542546), (53.526928, -2.542846), (53.526437, -2.543971)]"
osgb4000000009217275,"#osgb4000000009047838""/>","#osgb4000000009047672""/>",Oak Avenue,91.87,"[5.5, 4.7]","[(53.524206, -2.557986), (53.524233, -2.558017), (53.52426, -2.558017), (53.524557, -2.557976), (53.52471, -2.557978), (53.524943, -2.558011), (53.525024, -2.558027)]"
osgb4000000009217317,"#osgb4000000009047882""/>","#osgb4000000009047880""/>",Long Lane,59.66,"[6.9, 5.8]","[(53.527845, -2.556525), (53.527322, -2.55673)]"
osgb4000000009217571,"#osgb4000000009047552""/>","#osgb4000000009688546""/>",Carlton Grove,28.53,"[5.9, 5.0]","[(53.527235, -2.559911), (53.527002, -2.56009)]"
osgb4000000009217592,"#osgb4000000009047886""/>","#osgb4000000009047684""/>",Hawthorn Avenue,62.58,"[6.7, 5.2]","[(53.52791, -2.554113), (53.528459, -2.553909)]"
osgb4000000009217610,"#osgb4000000009047869""/>","#osgb4000000009047695""/>",Conway Road,30.36,"[6.0, 5.0]","[(53.529504, -2.561163), (53.529765, -2.561031)]"
osgb4000000009217611,"#osgb4000000009047708""/>","#osgb4000000009047916""/>",Wellfield Road,38.59,"[6.8, 6.0]","[(53.530758, -2.558102), (53.530478, -2.558385), (53.53046, -2.5584)]"
osgb4000000009217818,"#osgb4000000009047713""/>","#osgb4000000009048251""/>",Briar Close,20.87,"[6.4, 3.6]","[(53.531342, -2.550506), (53.531386, -2.550784), (53.53139, -2.550811)]"
osgb4000000009527055,"#osgb4000000009526069""/>","#osgb4000000009047865""/>",Cinnamon Avenue,31.49,"[6.0, 4.5]","[(53.527614, -2.558519), (53.527541, -2.55806)]"
osgb4000000009527092,"#osgb4000000009526073""/>","#osgb4000000009526074""/>",Swan Lane,9.71,"[11.2, 4.2]","[(53.525365, -2.548065), (53.525364, -2.548212)]"
osgb5000005157325691,"#osgb5000005157325550""/>","#osgb4000000009046273""/>",Leigh Road,2.33,"[10.3, 9.1]","[(53.521972, -2.543933), (53.521952, -2.543944)]"
osgb5000005181124416,"#osgb5000005181120494""/>","#osgb4000000009047524""/>",Atherton Road,10.41,"[9.0, 8.3]","[(53.523264, -2.544959), (53.523295, -2.545108)]"
osgb4000000009215409,"#osgb4000000009688531""/>","#osgb4000000009046259""/>",Leigh Road,34.44,"[8.6, 8.2]","[(53.514615, -2.546662), (53.514318, -2.546516)]"
osgb4000000009215423,"#osgb4000000009046250""/>","#osgb4000000009046270""/>",Leigh Road,15.31,"[10.0, 8.4]","[(53.512945, -2.54398), (53.512882, -2.543775)]"
osgb4000000009215425,"#osgb4000000009046253""/>","#osgb4000000009046260""/>",Leigh Road,20.59,"[10.3, 8.4]","[(53.515502, -2.547087), (53.515466, -2.547073), (53.515323, -2.547011)]"
osgb4000000009215560,"#osgb4000000009046314""/>","#osgb4000000009735341""/>",Thomas Street,50.82,"[6.5, 6.3]","[(53.52255, -2.544917), (53.522444, -2.544463), (53.522383, -2.544204)]"
osgb4000000009216997,"#osgb4000000009526076""/>","#osgb4000000009048336""/>",Swan Lane,62.47,"[7.3, 7.1]","[(53.526917, -2.548247), (53.527478, -2.548254)]"
osgb4000000009217111,"#osgb4000000009047632""/>","#osgb4000000009047631""/>",Tavistock Road,213.54,"[6.1, 5.3]","[(53.528864, -2.551847), (53.52889, -2.552089), (53.528964, -2.553493), (53.528982, -2.553629), (53.529025, -2.553931), (53.529236, -2.55499)]"
osgb4000000009217151,"#osgb4000000009047686""/>","#osgb4000000009047688""/>",Stuart Avenue,173.0,"[5.8, 5.0]","[(53.524471, -2.545515), (53.524436, -2.545153), (53.524437, -2.545047), (53.524447, -2.544896), (53.524493, -2.54461), (53.524511, -2.54449), (53.524512, -2.54443), (53.524503, -2.544279), (53.524469, -2.543946), (53.524425, -2.543735), (53.524354, -2.543477), (53.524336, -2.543417), (53.524319, -2.543235), (53.524311, -2.542979)]"
osgb4000000009217328,"#osgb4000000009047889""/>","#osgb4000000009047893""/>",Ludlow Avenue,65.25,"[5.8, 5.2]","[(53.52777, -2.55313), (53.527622, -2.552178)]"
osgb4000000009217368,"#osgb4000000009047705""/>","#osgb4000000009047706""/>",Tintagel Road,64.53,"[7.5, 5.4]","[(53.529672, -2.555825), (53.529551, -2.554873)]"
osgb4000000009217373,"#osgb4000000009047936""/>","#osgb4000000009047935""/>",Dorstone Close,85.73,"[6.0, 4.6]","[(53.531869, -2.549171), (53.531859, -2.549397), (53.531859, -2.549457), (53.531867, -2.549623), (53.531946, -2.550167), (53.531954, -2.550318), (53.531972, -2.550394), (53.531981, -2.550438)]"
osgb4000000009217570,"#osgb4000000009047551""/>","#osgb5000005181120518""/>",Kenilworth Drive,36.67,"[7.1, 4.7]","[(53.528157, -2.562684), (53.528392, -2.562401), (53.52841, -2.562386), (53.528428, -2.562371)]"
