NodeID,Lon,Lat
#osgb4000000009046299,-2.542946,53.521741
#osgb4000000009046315,-2.541419,53.52146
#osgb4000000009047561,-2.545985,53.52348
#osgb5000005181120516,-2.546712,53.523645
#osgb4000000009047693,-2.542246,53.527191
#osgb4000000009047692,-2.543971,53.526437
#osgb4000000009047838,-2.557986,53.524206
#osgb4000000009047672,-2.558027,53.525024
#osgb4000000009047882,-2.556525,53.527845
#osgb4000000009047880,-2.55673,53.527322
#osgb4000000009047552,-2.559911,53.527235
#osgb4000000009688546,-2.56009,53.527002
#osgb4000000009047886,-2.554113,53.52791
#osgb4000000009047684,-2.553909,53.528459
#osgb4000000009047869,-2.561163,53.529504
#osgb4000000009047695,-2.561031,53.529765
#osgb4000000009047708,-2.558102,53.530758
#osgb4000000009047916,-2.5584,53.53046
#osgb4000000009047713,-2.550506,53.531342
#osgb4000000009048251,-2.550811,53.53139
#osgb4000000009526069,-2.558519,53.527614
#osgb4000000009047865,-2.55806,53.527541
#osgb4000000009526073,-2.548065,53.525365
#osgb4000000009526074,-2.548212,53.525364
#osgb5000005157325550,-2.543933,53.521972
#osgb4000000009046273,-2.543944,53.521952
#osgb5000005181120494,-2.544959,53.523264
#osgb4000000009047524,-2.545108,53.523295
#osgb4000000009688531,-2.546662,53.514615
#osgb4000000009046259,-2.546516,53.514318
#osgb4000000009046250,-2.54398,53.512945
#osgb4000000009046270,-2.543775,53.512882
#osgb4000000009046253,-2.547087,53.515502
#osgb4000000009046260,-2.547011,53.515323
#osgb4000000009046314,-2.544917,53.52255
#osgb4000000009735341,-2.544204,53.522383
#osgb4000000009526076,-2.548247,53.526917
#osgb4000000009048336,-2.548254,53.527478
#osgb4000000009047632,-2.551847,53.528864
#osgb4000000009047631,-2.55499,53.529236
#osgb4000000009047686,-2.545515,53.524471
#osgb4000000009047688,-2.542979,53.524311
#osgb4000000009047889,-2.55313,53.52777
#osgb4000000009047893,-2.552178,53.527622
#osgb4000000009047705,-2.555825,53.529672
#osgb4000000009047706,-2.554873,53.529551
#osgb4000000009047936,-2.549171,53.531869
#osgb4000000009047935,-2.550438,53.531981
#osgb4000000009047551,-2.562684,53.528157
#osgb5000005181120518,-2.562371,53.528428
#osgb4000000009048112,-2.541053,53.52352
#osgb4000000009047691,-2.541496,53.523923
#osgb4000000009048139,-2.550994,53.532016
#osgb4000000009047946,-2.551606,53.532353
#osgb4000000009047608,-2.560639,53.527512
#osgb4000000009047866,-2.560551,53.527682
#osgb4000000009048458,-2.537648,53.522628
#osgb4000000009048457,-2.538357,53.522634
#osgb4000000009526035,-2.545263,53.513413
#osgb4000000009688541,-2.544566,53.513131
#osgb4000000009526071,-2.548633,53.52487
#osgb4000000009047879,-2.548205,53.524881
#osgb5000005176878917,-2.542468,53.522772
#osgb4000000009046255,-2.542839,53.52282
#osgb4000000009047562,-2.547346,53.523788
#osgb4000000009048354,-2.548194,53.523973
#osgb4000000009047629,-2.560181,53.529364
#osgb4000000009047682,-2.553026,53.526728
#osgb4000000009047885,-2.553782,53.526824
#osgb4000000009047905,-2.543592,53.525109
#osgb4000000009047906,-2.544484,53.525248
#osgb4000000009047931,-2.555356,53.530699
#osgb4000000009047709,-2.555665,53.530087
#osgb4000000009047711,-2.553617,53.530357
#osgb4000000009047934,-2.5515,53.52998
#osgb4000000009048142,-2.554135,53.534219
#osgb4000000009047943,-2.554354,53.533652
#osgb4000000009050884,-2.536936,53.523557
#osgb4000000009050887,-2.537008,53.524473
#osgb4000000009526210,-2.551729,53.53059
#osgb4000000009526214,-2.551528,53.531227
#osgb4000000009048144,-2.551825,53.532931
#osgb4000000009526230,-2.551779,53.532997
#osgb4000000009048095,-2.560223,53.52683
#osgb4000000009713885,-2.545065,53.52232
#osgb5000005181120521,-2.562439,53.528048
#osgb5000005185199985,-2.547737,53.524892
#osgb4000000009047899,-2.54727,53.524894
#osgb5000005185199981,-2.541936,53.522729
#osgb4000000009046316,-2.540061,53.521448
#osgb4000000009048102,-2.553856,53.525556
#osgb4000000009047556,-2.555219,53.525999
#osgb4000000009047863,-2.562314,53.528644
#osgb4000000009047694,-2.562747,53.52946
#osgb4000000009047873,-2.557075,53.524876
#osgb4000000009047876,-2.557133,53.525882
#osgb4000000009047875,-2.554165,53.524997
#osgb4000000009047679,-2.554968,53.525245
#osgb4000000009526067,-2.555031,53.526231
#osgb4000000009047681,-2.554655,53.526703
#osgb4000000009047887,-2.554477,53.52691
#osgb4000000009047897,-2.540687,53.52318
#osgb4000000009047898,-2.539182,53.523457
#osgb4000000009047901,-2.546275,53.524899
#osgb4000000009047687,-2.546088,53.525637
#osgb4000000009047904,-2.547009,53.525668
#osgb4000000009047872,-2.557005,53.524148
#osgb4000000009047678,-2.556477,53.524195
#osgb4000000009049272,-2.538288,53.523137
#osgb5000005176878920,-2.547054,53.515863
#osgb4000000009526078,-2.542909,53.521148
#osgb4000000009526079,-2.542844,53.521099
#osgb5000005176878918,-2.546611,53.51373
