row number,USRN ID,Street Name,Authority Name,Administrative area,Town,Location
6503,usrn14700279,ROYAL SPRING,Gloucestershire,GLOUCESTERSHIRE,LITTLE LONDON,"[(53.194189, -4.719551), (53.194264, -4.719406), (53.194302, -4.719319), (53.194343, -4.719112), (53.194391, -4.71886)]"
10054,usrn17225239,MYERS CLOSE,Hertfordshire,HERTFORDSHIRE,LONDON COLNEY,"[(54.534185, -5.044355), (54.534108, -5.04452), (54.533993, -5.044767), (54.533657, -5.045393), (54.53318, -5.04621), (54.533139, -5.046271), (54.533047, -5.046416), (54.532834, -5.046748), (54.5323, -5.047538), (54.532166, -5.047754)]"
10058,usrn17225273,PROSPECT CLOSE,Hertfordshire,HERTFORDSHIRE,LONDON COLNEY,"[(54.527634, -5.039211), (54.527675, -5.039353), (54.5277, -5.039463), (54.527707, -5.03951), (54.527712, -5.039695), (54.527708, -5.03985), (54.527668, -5.040017), (54.527564, -5.04021), (54.527306, -5.040469), (54.526975, -5.040754), (54.526344, -5.041186), (54.526013, -5.04147), (54.525554, -5.041854), (54.525453, -5.041939)]"
13729,usrn20000332,AGNESFIELD CLOSE PRIVATE PART,Barnet,BARNET,LONDON,"[(54.59843, -5.227255), (54.598508, -5.227199), (54.598539, -5.227217), (54.598557, -5.227287), (54.598572, -5.227344), (54.598605, -5.227431), (54.598622, -5.227597)]"
13730,usrn20000360,AJAX AVENUE,Barnet,BARNET,LONDON,"[(54.542221, -5.253542), (54.542161, -5.253352), (54.541952, -5.252847), (54.541538, -5.25184), (54.541344, -5.251361)]"
13735,usrn20000500,ALBERT ROAD,Barnet,BARNET,LONDON,"[(54.548316, -5.213542), (54.548296, -5.213471), (54.548294, -5.213416), (54.54837, -5.212963), (54.548507, -5.212149)]"
13737,usrn20000540,ALBERT STREET,Barnet,BARNET,LONDON,"[(54.588007, -5.214553), (54.588017, -5.214471), (54.588048, -5.214115), (54.588051, -5.214004)]"
13738,usrn20000640,ALDERTON WAY,Barnet,BARNET,LONDON,"[(54.554859, -5.271016), (54.55541, -5.270921), (54.556333, -5.270716)]"
13746,usrn20000920,ALYTH GARDENS,Barnet,BARNET,LONDON,"[(54.575408, -5.277879), (54.575571, -5.277815), (54.575744, -5.277751), (54.576191, -5.277573)]"
13747,usrn20000960,AMBROSE AVENUE,Barnet,BARNET,LONDON,"[(54.572076, -5.279051), (54.571611, -5.280205), (54.571218, -5.281179), (54.571187, -5.281254), (54.57115, -5.281344), (54.570734, -5.2821), (54.570706, -5.28216)]"
13753,usrn20001060,ANTHONY CLOSE,Barnet,BARNET,LONDON,"[(54.545738, -5.208498), (54.545378, -5.208944)]"
